Date,Item Name,Buy,Sell,Amount
5/28/2021,Marigolds,13375,12774,4995
5/28/2021,Saradomin Brew (4),17706,18396,995
5/28/2021,Banite Ore,5505,5595,19961
5/28/2021,Banite Stone Spirit,4374,4534,4709
5/28/2021,Raw Sailfish,6105,6183,19995
5/28/2021,Sailfish,5449,5557,9995
5/29/2021,Rune Nails,128,198,13218
5/30/2021,Sailfish,5388,5596,9995
5/30/2021,Sailfish,5411,5594,9995
5/30/2021,Sailfish,5389,5589,9992
12/20/2021,Sailfish,5488,5804,9995
12/20/2021,Marigolds,13355,15023,10385
12/20/2021,Bond Purchase,50000000,0,1
12/20/2021,Orthenglass,1155,1397,4995
12/20/2021,Warforged Bronze,6806,5412,4995
12/20/2021,Uncut Dragonstone,5433,5619,4995
12/20/2021,Marigolds,9353,9985,125
12/20/2021,Banite Ore,3794,3811,17677
12/20/2021,Air Orb,1586,2618,4995
12/20/2021,Bull Ant Pouch,775,3109,2315
12/21/2021,Air Orb,1759,1473,4995
12/21/2021,Necronium Bar,7824,8314,7671
12/21/2021,Ancient Staff,121041,159977,12
12/21/2021,Honeycomb,1950,1580,11749
12/22/2021,Earth Orb,997,1163,4995
12/22/2021,Raw Great White Shark,638,1657,263
12/22/2021,Monkfish,505,684,6907
12/22/2021,Third Age Iron,3853,6754,4364
12/22/2021,Raw Great White Shark,1363,1524,1275
12/22/2021,Onyx Amulet,833150,993000,4
12/22/2021,Blood Talisman,7523,8247,15
12/23/2021,Vulcanised Rubber,3041,4003,4995
12/23/2021,Ascendri Bolts,8535,9060,13167
12/23/2021,Third Age Iron,3869,4245,4995
12/23/2021,Orikalkum Bar,5856,5999,1004
12/23/2021,Necronium Bar,7815,8333,5242
12/23/2021,Orthenglass,1513,1714,4995
12/24/2021,Amulet of Power,5586,6532,1254
12/27/2021,Delicious Honeyc0mb,10004,12992,1005
12/27/2021,Uncut Hydrix,86572000,89983500,3
12/27/2021,Hydrix Bolt Tips,8542,8797,7522
12/27/2021,Marigolds,7122,7624,11371
12/27/2021,Uncut Hydrix,88804000,89987000,6
12/27/2021,Third Age Iron,3633,5395,4975
12/27/2021,Diamond Amulet,4718,9470,4948
12/28/2021,Raw Cavefish,431,1220,69
12/28/2021,Runite Stone Spirit,1504,1616,28966
12/28/2021,Raw Bass,3841,4676,681
12/29/2021,Uncut Hydrix,89118000,89988000,10
12/29/2021,Croesus Spore Sack,7853000,8515701,17
12/29/2021,Third Age Iron,3997,4618,4995
12/29/2021,Ascendri Bolts,8808,9385,3838
12/29/2021,Croesus Flakes,335,424,39995
12/30/2021,Third Age Iron,4209,4617,3701
12/30/2021,Draconic Energy,551135,553490,450
12/30/2021,Uncut Hydrix,90505500,92984000,7
12/30/2021,Marigolds,3493,7988,1612
12/30/2021,Ancient Scale,1104011,1109211,300
12/30/2021,Ancient Vis,1609,1683,4422
12/30/2021,Croesus Spore Sack,7205667,7847321,17
12/31/2021,Diamond Amulet,4894,7963,1126
1/1/2022,G0lden Dragonfruit,6771,7233,6457
1/3/2022,Croesus Spore Sack,8389979,8969124,11
1/3/2022,Marigolds,5753,14495,353
1/3/2022,Third Age Iron,4260,4657,2728
1/3/2022,Croesus Spore Sack,8046125,9970000,9
